105	CINT	372
105	id	372
106	=	348
106	[	348
107	#	341
107	call	341
107	float	341
107	id	341
107	if	341
107	int	341
107	proc	341
107	record	341
107	return	341
107	while	341
108	)	370
108	+	163
108	,	370
109	)	351
109	*	164
109	+	351
109	,	351
110	)	166
110	,	165
111	(	80
111	CFLOAT	81
111	CINT	82
111	id	83
112	)	374
112	*	374
112	+	374
112	,	374
113	)	355
113	*	355
113	+	355
113	,	355
114	)	356
114	*	356
114	+	356
114	,	356
115	)	353
115	*	353
115	+	353
115	,	353
116	!	371
116	(	371
116	CBOOL	371
116	CFLOAT	371
116	CINT	371
116	id	371
117	{	360
118	!	371
118	(	371
118	CBOOL	371
118	CFLOAT	371
118	CINT	371
118	id	371
119	&&	359
119	)	359
119	||	359
120	!	56
120	(	57
120	CBOOL	58
120	CFLOAT	61
120	CINT	62
120	id	63
121	!=	67
121	+	66
121	<	68
121	<=	69
121	==	70
121	>	71
121	>=	72
122	&&	170
122	)	171
122	||	172
123	!=	67
123	)	173
123	+	125
123	<	68
123	<=	69
123	==	70
123	>	71
123	>=	72
124	(	176
124	CFLOAT	177
124	CINT	178
124	id	179
125	(	182
125	CFLOAT	61
125	CINT	62
125	id	63
126	!=	354
126	*	354
126	+	354
126	<	354
126	<=	354
126	==	354
126	>	354
126	>=	354
127	(	182
127	CFLOAT	61
127	CINT	62
127	id	63
128	+	184
128	{	361
129	*	185
129	+	351
129	{	351
130	(	80
130	CFLOAT	81
130	CINT	82
130	id	83
131	*	374
131	+	374
131	{	374
132	*	355
132	+	355
132	{	355
133	*	356
133	+	356
133	{	356
134	*	353
134	+	353
134	{	353
135	!=	350
135	*	73
135	+	350
135	<	350
135	<=	350
135	==	350
135	>	350
135	>=	350
136	(	80
136	CFLOAT	81
136	CINT	82
136	id	83
137	!=	352
137	*	352
137	+	352
137	<	352
137	<=	352
137	==	352
137	>	352
137	>=	352
138	call	189
138	id	5
138	if	190
138	return	191
138	while	192
139	*	77
139	+	350
139	;	350
140	*	352
140	+	352
140	;	352
141	(	80
141	CFLOAT	81
141	CINT	82
141	id	83
142	*	354
142	+	354
142	;	354
143	(	80
143	CFLOAT	81
143	CINT	82
143	id	83
144	)	196
144	+	141
145	call	372
145	id	372
145	if	372
145	return	372
145	while	372
146	[	44
146	id	340
147	;	331
148	;	330
149	)	199
149	+	141
150	)	200
150	,	201
151	id	202
152	,	46
152	;	332
152	=	47
153	id	204
154	{	205
155	#	329
155	call	329
155	float	329
155	id	329
155	if	329
155	int	329
155	proc	329
155	record	329
155	return	329
155	while	329
156	(	38
156	CFLOAT	39
156	CINT	40
156	id	41
157	}	324
158	}	325
159	(	207
160	{	208
161	+	75
161	;	209
162	!	26
162	(	27
162	CBOOL	28
162	CFLOAT	31
162	CINT	32
162	id	33
163	(	111
163	CFLOAT	112
163	CINT	113
163	id	114
164	(	111
164	CFLOAT	112
164	CINT	113
164	id	114
165	(	111
165	CFLOAT	112
165	CINT	113
165	id	114
166	;	214
167	)	215
167	+	141
168	!	217
168	(	218
168	CBOOL	219
168	CFLOAT	31
168	CINT	32
168	id	33
169	!	217
169	(	218
169	CBOOL	219
169	CFLOAT	31
169	CINT	32
169	id	33
170	!	371
170	(	371
170	CBOOL	371
170	CFLOAT	371
170	CINT	371
170	id	371
171	&&	360
171	)	360
171	||	360
172	!	371
172	(	371
172	CBOOL	371
172	CFLOAT	371
172	CINT	371
172	id	371
173	!=	354
173	)	354
173	*	354
173	+	354
173	<	354
173	<=	354
173	==	354
173	>	354
173	>=	354
174	&&	361
174	)	361
174	+	224
174	||	361
175	&&	351
175	)	351
175	*	225
175	+	351
175	||	351
176	(	80
176	CFLOAT	81
176	CINT	82
176	id	83
177	&&	374
177	)	374
177	*	374
177	+	374
177	||	374
178	&&	355
178	)	355
178	*	355
178	+	355
178	||	355
179	&&	356
179	)	356
179	*	356
179	+	356
179	||	356
180	&&	353
180	)	353
180	*	353
180	+	353
180	||	353
181	!=	350
181	)	350
181	*	127
181	+	350
181	<	350
181	<=	350
181	==	350
181	>	350
181	>=	350
182	(	80
182	CFLOAT	81
182	CINT	82
182	id	83
183	!=	352
183	)	352
183	*	352
183	+	352
183	<	352
183	<=	352
183	==	352
183	>	352
183	>=	352
184	(	130
184	CFLOAT	131
184	CINT	132
184	id	133
185	(	130
185	CFLOAT	131
185	CINT	132
185	id	133
186	)	230
186	+	141
187	)	126
187	+	141
188	=	231
188	[	21
189	id	232
190	!	26
190	(	27
190	CBOOL	28
190	CFLOAT	31
190	CINT	32
190	id	33
191	(	38
191	CFLOAT	39
191	CINT	40
191	id	41
192	!	372
192	(	372
192	CBOOL	372
192	CFLOAT	372
192	CINT	372
192	id	372
193	}	373
194	)	350
194	*	143
194	+	350
195	)	352
195	*	352
195	+	352
196	)	354
196	*	354
196	+	354
197	call	189
197	id	5
197	if	190
197	return	191
197	while	192
198	id	339
199	,	354
199	;	354
199	=	354
200	{	238
201	float	18
201	int	19
202	)	334
202	,	334
203	;	240
204	(	241
205	call	102
205	float	14
205	id	5
205	if	103
205	int	15
205	proc	96
205	record	97
205	return	104
205	while	105
205	}	326
206	+	75
206	;	243
207	(	111
207	CFLOAT	112
207	CINT	113
207	id	114
208	call	372
208	id	372
208	if	372
208	return	372
208	while	372
209	call	347
209	float	347
209	id	347
209	if	347
209	int	347
209	proc	347
209	record	347
209	return	347
209	while	347
209	}	347
210	{	246
211	)	350
211	*	164
211	+	350
211	,	350
212	)	352
212	*	352
212	+	352
212	,	352
213	)	369
213	+	163
213	,	369
214	#	346
214	call	346
214	float	346
214	id	346
214	if	346
214	int	346
214	proc	346
214	record	346
214	return	346
214	while	346
215	)	354
215	*	354
215	+	354
215	,	354
216	)	247
217	!	217
217	(	218
217	CBOOL	219
217	CFLOAT	31
217	CINT	32
217	id	33
218	!	56
218	(	57
218	CBOOL	58
218	CFLOAT	61
218	CINT	62
218	id	63
219	)	362
220	!=	67
220	+	66
220	<	68
220	<=	69
220	==	70
220	>	71
220	>=	72
221	)	251
222	!	217
222	(	218
222	CBOOL	219
222	CFLOAT	31
222	CINT	32
222	id	33
223	!	217
